"DENOMINAZI","classi_eta","ita_f","ita_m","stran_f","stran_m","fem","man","mar_ageASL","mar_femASL","mar_manASL","tot_genASL","tot_ageASL"
"FROSINONE","""00-04""",8065,8295,600,603,8665,8898,17563,250758,243308,494066,494066
"FROSINONE","""05-09""",9711,9980,623,671,10334,10651,20985,250758,243308,494066,494066
"FROSINONE","""10-14""",10330,11013,600,640,10930,11653,22583,250758,243308,494066,494066
"FROSINONE","""15-19""",10304,10898,510,581,10814,11479,22293,250758,243308,494066,494066
"FROSINONE","""20-24""",10468,12038,691,1425,11159,13463,24622,250758,243308,494066,494066
"FROSINONE","""25-29""",11736,12779,896,1467,12632,14246,26878,250758,243308,494066,494066
"FROSINONE","""30-34""",12962,13914,1157,1403,14119,15317,29436,250758,243308,494066,494066
"FROSINONE","""35-39""",13980,14668,1182,1265,15162,15933,31095,250758,243308,494066,494066
"FROSINONE","""40-44""",15766,15787,1149,1126,16915,16913,33828,250758,243308,494066,494066
"FROSINONE","""45-49""",17862,17530,1092,866,18954,18396,37350,250758,243308,494066,494066
"FROSINONE","""50-54""",18569,17971,1028,709,19597,18680,38277,250758,243308,494066,494066
"FROSINONE","""55-59""",18938,17851,672,430,19610,18281,37891,250758,243308,494066,494066
"FROSINONE","""60-64""",17348,16371,541,298,17889,16669,34558,250758,243308,494066,494066
"FROSINONE","""65-69""",15878,15072,351,177,16229,15249,31478,250758,243308,494066,494066
"FROSINONE","""70-74""",15446,14546,222,93,15668,14639,30307,250758,243308,494066,494066
"FROSINONE","""75-79""",10691,9108,93,52,10784,9160,19944,250758,243308,494066,494066
"FROSINONE","""80-84""",9739,7447,57,46,9796,7493,17289,250758,243308,494066,494066
"FROSINONE","""85-100""",11461,6167,40,21,11501,6188,17689,250758,243308,494066,494066
"LATINA","""00-04""",10466,11133,1540,1711,12006,12844,24850,310233,309924,620157,620157
"LATINA","""05-09""",12414,13133,1585,1786,13999,14919,28918,310233,309924,620157,620157
"LATINA","""10-14""",13526,14205,1357,1500,14883,15705,30588,310233,309924,620157,620157
"LATINA","""15-19""",13202,13819,1072,1242,14274,15061,29335,310233,309924,620157,620157
"LATINA","""20-24""",13275,15034,1149,2129,14424,17163,31587,310233,309924,620157,620157
"LATINA","""25-29""",14285,15742,1657,2482,15942,18224,34166,310233,309924,620157,620157
"LATINA","""30-34""",15892,16637,2483,3184,18375,19821,38196,310233,309924,620157,620157
"LATINA","""35-39""",16731,18233,2612,3749,19343,21982,41325,310233,309924,620157,620157
"LATINA","""40-44""",19231,20097,2639,3571,21870,23668,45538,310233,309924,620157,620157
"LATINA","""45-49""",22927,23286,2379,2882,25306,26168,51474,310233,309924,620157,620157
"LATINA","""50-54""",23437,22965,2106,2186,25543,25151,50694,310233,309924,620157,620157
"LATINA","""55-59""",22632,21877,1333,1152,23965,23029,46994,310233,309924,620157,620157
"LATINA","""60-64""",19289,18014,941,692,20230,18706,38936,310233,309924,620157,620157
"LATINA","""65-69""",16998,15910,466,326,17464,16236,33700,310233,309924,620157,620157
"LATINA","""70-74""",17217,15503,285,147,17502,15650,33152,310233,309924,620157,620157
"LATINA","""75-79""",12445,10543,112,64,12557,10607,23164,310233,309924,620157,620157
"LATINA","""80-84""",11085,8476,79,38,11164,8514,19678,310233,309924,620157,620157
"LATINA","""85-100""",11334,6446,52,30,11386,6476,17862,310233,309924,620157,620157
"RIETI","""00-04""",2147,2446,255,309,2402,2755,5157,82212,82150,164362,164362
"RIETI","""05-09""",2662,2864,299,336,2961,3200,6161,82212,82150,164362,164362
"RIETI","""10-14""",3045,3216,297,316,3342,3532,6874,82212,82150,164362,164362
"RIETI","""15-19""",3051,3445,249,326,3300,3771,7071,82212,82150,164362,164362
"RIETI","""20-24""",3326,3693,300,609,3626,4302,7928,82212,82150,164362,164362
"RIETI","""25-29""",3583,4372,414,836,3997,5208,9205,82212,82150,164362,164362
"RIETI","""30-34""",3757,4318,538,894,4295,5212,9507,82212,82150,164362,164362
"RIETI","""35-39""",3975,4355,628,775,4603,5130,9733,82212,82150,164362,164362
"RIETI","""40-44""",4753,4866,679,673,5432,5539,10971,82212,82150,164362,164362
"RIETI","""45-49""",5672,5690,713,567,6385,6257,12642,82212,82150,164362,164362
"RIETI","""50-54""",6128,5972,669,489,6797,6461,13258,82212,82150,164362,164362
"RIETI","""55-59""",6328,6253,495,298,6823,6551,13374,82212,82150,164362,164362
"RIETI","""60-64""",5598,5385,384,172,5982,5557,11539,82212,82150,164362,164362
"RIETI","""65-69""",5064,4971,225,104,5289,5075,10364,82212,82150,164362,164362
"RIETI","""70-74""",5006,4838,137,61,5143,4899,10042,82212,82150,164362,164362
"RIETI","""75-79""",3789,3478,62,34,3851,3512,7363,82212,82150,164362,164362
"RIETI","""80-84""",3705,2802,34,15,3739,2817,6556,82212,82150,164362,164362
"RIETI","""85-100""",4225,2365,20,7,4245,2372,6617,82212,82150,164362,164362
"ROMA 1","""00-04""",16585,17494,2430,2527,19015,20021,39036,599352,524383,1123735,1123735
"ROMA 1","""05-09""",20150,21550,2933,3186,23083,24736,47819,599352,524383,1123735,1123735
"ROMA 1","""10-14""",22467,23877,2747,2957,25214,26834,52048,599352,524383,1123735,1123735
"ROMA 1","""15-19""",22384,23406,2213,2528,24597,25934,50531,599352,524383,1123735,1123735
"ROMA 1","""20-24""",21246,22704,2019,2691,23265,25395,48660,599352,524383,1123735,1123735
"ROMA 1","""25-29""",22739,24008,3345,3999,26084,28007,54091,599352,524383,1123735,1123735
"ROMA 1","""30-34""",25478,25326,5175,5398,30653,30724,61377,599352,524383,1123735,1123735
"ROMA 1","""35-39""",29493,28068,7007,7252,36500,35320,71820,599352,524383,1123735,1123735
"ROMA 1","""40-44""",34333,31281,8083,7468,42416,38749,81165,599352,524383,1123735,1123735
"ROMA 1","""45-49""",42546,37423,8197,6614,50743,44037,94780,599352,524383,1123735,1123735
"ROMA 1","""50-54""",46163,40009,8260,5454,54423,45463,99886,599352,524383,1123735,1123735
"ROMA 1","""55-59""",45148,39420,6797,4047,51945,43467,95412,599352,524383,1123735,1123735
"ROMA 1","""60-64""",37402,31838,5394,2694,42796,34532,77328,599352,524383,1123735,1123735
"ROMA 1","""65-69""",31707,25722,3378,1579,35085,27301,62386,599352,524383,1123735,1123735
"ROMA 1","""70-74""",30205,23065,1796,841,32001,23906,55907,599352,524383,1123735,1123735
"ROMA 1","""75-79""",26728,18935,938,454,27666,19389,47055,599352,524383,1123735,1123735
"ROMA 1","""80-84""",24704,16253,519,256,25223,16509,41732,599352,524383,1123735,1123735
"ROMA 1","""85-100""",28188,13866,455,193,28643,14059,42702,599352,524383,1123735,1123735
"ROMA 2","""00-04""",22905,23817,4004,4187,26909,28004,54913,721182,673619,1394801,1394801
"ROMA 2","""05-09""",27039,28319,4511,4609,31550,32928,64478,721182,673619,1394801,1394801
"ROMA 2","""10-14""",28765,30808,3834,4081,32599,34889,67488,721182,673619,1394801,1394801
"ROMA 2","""15-19""",27819,29530,2696,3049,30515,32579,63094,721182,673619,1394801,1394801
"ROMA 2","""20-24""",26633,29717,2376,3864,29009,33581,62590,721182,673619,1394801,1394801
"ROMA 2","""25-29""",29377,32012,4543,5882,33920,37894,71814,721182,673619,1394801,1394801
"ROMA 2","""30-34""",34095,35239,6875,7792,40970,43031,84001,721182,673619,1394801,1394801
"ROMA 2","""35-39""",38838,39348,7856,9812,46694,49160,95854,721182,673619,1394801,1394801
"ROMA 2","""40-44""",43839,43939,8158,9901,51997,53840,105837,721182,673619,1394801,1394801
"ROMA 2","""45-49""",52129,49501,7670,7742,59799,57243,117042,721182,673619,1394801,1394801
"ROMA 2","""50-54""",53469,49678,7301,5824,60770,55502,116272,721182,673619,1394801,1394801
"ROMA 2","""55-59""",53430,48542,5491,3628,58921,52170,111091,721182,673619,1394801,1394801
"ROMA 2","""60-64""",44958,39113,4166,2220,49124,41333,90457,721182,673619,1394801,1394801
"ROMA 2","""65-69""",38090,32433,2409,1217,40499,33650,74149,721182,673619,1394801,1394801
"ROMA 2","""70-74""",35692,28876,1199,620,36891,29496,66387,721182,673619,1394801,1394801
"ROMA 2","""75-79""",30114,22756,545,257,30659,23013,53672,721182,673619,1394801,1394801
"ROMA 2","""80-84""",28626,19132,285,134,28911,19266,48177,721182,673619,1394801,1394801
"ROMA 2","""85-100""",31243,15946,202,94,31445,16040,47485,721182,673619,1394801,1394801
"ROMA 3","""00-04""",10165,10931,1582,1659,11747,12590,24337,344470,314855,659325,659325
"ROMA 3","""05-09""",13275,13735,1837,1938,15112,15673,30785,344470,314855,659325,659325
"ROMA 3","""10-14""",14753,15593,1653,1777,16406,17370,33776,344470,314855,659325,659325
"ROMA 3","""15-19""",14034,15135,1272,1441,15306,16576,31882,344470,314855,659325,659325
"ROMA 3","""20-24""",13177,14554,1179,1709,14356,16263,30619,344470,314855,659325,659325
"ROMA 3","""25-29""",13323,14124,1835,2210,15158,16334,31492,344470,314855,659325,659325
"ROMA 3","""30-34""",14551,14727,2844,2921,17395,17648,35043,344470,314855,659325,659325
"ROMA 3","""35-39""",16823,16507,3665,4021,20488,20528,41016,344470,314855,659325,659325
"ROMA 3","""40-44""",20974,19508,4047,4214,25021,23722,48743,344470,314855,659325,659325
"ROMA 3","""45-49""",26699,24504,4015,3371,30714,27875,58589,344470,314855,659325,659325
"ROMA 3","""50-54""",27897,25646,3870,2721,31767,28367,60134,344470,314855,659325,659325
"ROMA 3","""55-59""",25713,24264,2746,1752,28459,26016,54475,344470,314855,659325,659325
"ROMA 3","""60-64""",20498,18081,2152,1150,22650,19231,41881,344470,314855,659325,659325
"ROMA 3","""65-69""",17186,14588,1247,601,18433,15189,33622,344470,314855,659325,659325
"ROMA 3","""70-74""",16967,13021,650,288,17617,13309,30926,344470,314855,659325,659325
"ROMA 3","""75-79""",15275,10963,330,128,15605,11091,26696,344470,314855,659325,659325
"ROMA 3","""80-84""",14003,9583,167,67,14170,9650,23820,344470,314855,659325,659325
"ROMA 3","""85-100""",13940,7374,126,49,14066,7423,21489,344470,314855,659325,659325
"ROMA 4","""00-04""",5320,5812,813,886,6133,6698,12831,183637,175639,359276,359276
"ROMA 4","""05-09""",7184,7572,1052,1139,8236,8711,16947,183637,175639,359276,359276
"ROMA 4","""10-14""",8033,8482,1041,1073,9074,9555,18629,183637,175639,359276,359276
"ROMA 4","""15-19""",7741,8344,779,867,8520,9211,17731,183637,175639,359276,359276
"ROMA 4","""20-24""",7522,8218,695,928,8217,9146,17363,183637,175639,359276,359276
"ROMA 4","""25-29""",7418,7928,931,1063,8349,8991,17340,183637,175639,359276,359276
"ROMA 4","""30-34""",8412,8291,1722,1528,10134,9819,19953,183637,175639,359276,359276
"ROMA 4","""35-39""",9317,9146,1996,1825,11313,10971,22284,183637,175639,359276,359276
"ROMA 4","""40-44""",11449,11106,2354,2218,13803,13324,27127,183637,175639,359276,359276
"ROMA 4","""45-49""",14147,13362,2214,1922,16361,15284,31645,183637,175639,359276,359276
"ROMA 4","""50-54""",14773,14268,2125,1683,16898,15951,32849,183637,175639,359276,359276
"ROMA 4","""55-59""",13929,13659,1253,1013,15182,14672,29854,183637,175639,359276,359276
"ROMA 4","""60-64""",11169,10929,948,636,12117,11565,23682,183637,175639,359276,359276
"ROMA 4","""65-69""",9552,8927,498,316,10050,9243,19293,183637,175639,359276,359276
"ROMA 4","""70-74""",8853,7892,276,171,9129,8063,17192,183637,175639,359276,359276
"ROMA 4","""75-79""",7517,6251,143,70,7660,6321,13981,183637,175639,359276,359276
"ROMA 4","""80-84""",6176,4755,92,46,6268,4801,11069,183637,175639,359276,359276
"ROMA 4","""85-100""",6146,3288,47,25,6193,3313,9506,183637,175639,359276,359276
"ROMA 5","""00-04""",9098,9631,1582,1707,10680,11338,22018,277664,272590,550254,550254
"ROMA 5","""05-09""",11229,12162,1824,2071,13053,14233,27286,277664,272590,550254,550254
"ROMA 5","""10-14""",12611,13261,1830,1905,14441,15166,29607,277664,272590,550254,550254
"ROMA 5","""15-19""",11857,12914,1330,1464,13187,14378,27565,277664,272590,550254,550254
"ROMA 5","""20-24""",11409,12521,1176,1614,12585,14135,26720,277664,272590,550254,550254
"ROMA 5","""25-29""",12040,12883,1730,1856,13770,14739,28509,277664,272590,550254,550254
"ROMA 5","""30-34""",13866,14280,2574,2728,16440,17008,33448,277664,272590,550254,550254
"ROMA 5","""35-39""",15243,15765,3139,3444,18382,19209,37591,277664,272590,550254,550254
"ROMA 5","""40-44""",17572,17683,3382,3665,20954,21348,42302,277664,272590,550254,550254
"ROMA 5","""45-49""",20429,20355,3088,3063,23517,23418,46935,277664,272590,550254,550254
"ROMA 5","""50-54""",21172,20669,2885,2596,24057,23265,47322,277664,272590,550254,550254
"ROMA 5","""55-59""",20128,19653,1609,1340,21737,20993,42730,277664,272590,550254,550254
"ROMA 5","""60-64""",16893,16347,1205,838,18098,17185,35283,277664,272590,550254,550254
"ROMA 5","""65-69""",14378,13632,597,419,14975,14051,29026,277664,272590,550254,550254
"ROMA 5","""70-74""",13082,11984,331,174,13413,12158,25571,277664,272590,550254,550254
"ROMA 5","""75-79""",10121,8434,132,75,10253,8509,18762,277664,272590,550254,550254
"ROMA 5","""80-84""",8825,6635,80,32,8905,6667,15572,277664,272590,550254,550254
"ROMA 5","""85-100""",9163,4765,54,25,9217,4790,14007,277664,272590,550254,550254
"ROMA 6","""00-04""",10255,10749,1420,1442,11675,12191,23866,318332,310109,628441,628441
"ROMA 6","""05-09""",12807,13613,1596,1795,14403,15408,29811,318332,310109,628441,628441
"ROMA 6","""10-14""",14474,15404,1534,1662,16008,17066,33074,318332,310109,628441,628441
"ROMA 6","""15-19""",13807,14645,1082,1290,14889,15935,30824,318332,310109,628441,628441
"ROMA 6","""20-24""",13252,14186,973,1435,14225,15621,29846,318332,310109,628441,628441
"ROMA 6","""25-29""",13471,14293,1501,1860,14972,16153,31125,318332,310109,628441,628441
"ROMA 6","""30-34""",15378,15843,2572,2797,17950,18640,36590,318332,310109,628441,628441
"ROMA 6","""35-39""",17196,17968,3025,3702,20221,21670,41891,318332,310109,628441,628441
"ROMA 6","""40-44""",20453,20330,3463,3743,23916,24073,47989,318332,310109,628441,628441
"ROMA 6","""45-49""",24581,24261,3244,3204,27825,27465,55290,318332,310109,628441,628441
"ROMA 6","""50-54""",24792,24243,2913,2557,27705,26800,54505,318332,310109,628441,628441
"ROMA 6","""55-59""",23553,23045,1880,1515,25433,24560,49993,318332,310109,628441,628441
"ROMA 6","""60-64""",19941,18865,1368,994,21309,19859,41168,318332,310109,628441,628441
"ROMA 6","""65-69""",17158,15669,746,470,17904,16139,34043,318332,310109,628441,628441
"ROMA 6","""70-74""",15734,14229,374,204,16108,14433,30541,318332,310109,628441,628441
"ROMA 6","""75-79""",12451,10536,159,100,12610,10636,23246,318332,310109,628441,628441
"ROMA 6","""80-84""",10587,7770,105,63,10692,7833,18525,318332,310109,628441,628441
"ROMA 6","""85-100""",10401,5587,86,40,10487,5627,16114,318332,310109,628441,628441
"VITERBO","""00-04""",4765,5081,749,863,5514,5944,11458,172137,166470,338607,338607
"VITERBO","""05-09""",5990,6226,822,855,6812,7081,13893,172137,166470,338607,338607
"VITERBO","""10-14""",6623,7075,753,810,7376,7885,15261,172137,166470,338607,338607
"VITERBO","""15-19""",6535,6934,661,644,7196,7578,14774,172137,166470,338607,338607
"VITERBO","""20-24""",6662,7299,685,1026,7347,8325,15672,172137,166470,338607,338607
"VITERBO","""25-29""",6906,7735,960,1247,7866,8982,16848,172137,166470,338607,338607
"VITERBO","""30-34""",7919,8378,1432,1498,9351,9876,19227,172137,166470,338607,338607
"VITERBO","""35-39""",9039,9082,1612,1673,10651,10755,21406,172137,166470,338607,338607
"VITERBO","""40-44""",10453,10668,1668,1651,12121,12319,24440,172137,166470,338607,338607
"VITERBO","""45-49""",12294,12326,1542,1479,13836,13805,27641,172137,166470,338607,338607
"VITERBO","""50-54""",12768,12407,1457,1189,14225,13596,27821,172137,166470,338607,338607
"VITERBO","""55-59""",12676,12755,972,732,13648,13487,27135,172137,166470,338607,338607
"VITERBO","""60-64""",11388,10855,788,510,12176,11365,23541,172137,166470,338607,338607
"VITERBO","""65-69""",10456,9852,504,282,10960,10134,21094,172137,166470,338607,338607
"VITERBO","""70-74""",9866,9193,274,144,10140,9337,19477,172137,166470,338607,338607
"VITERBO","""75-79""",7961,6725,117,88,8078,6813,14891,172137,166470,338607,338607
"VITERBO","""80-84""",7036,5160,76,46,7112,5206,12318,172137,166470,338607,338607
"VITERBO","""85-100""",7690,3959,38,23,7728,3982,11710,172137,166470,338607,338607
