"DENOMINAZI","classi_eta","ita_f","ita_m","stran_f","stran_m","fem","man","mar_ageASL","mar_femASL","mar_manASL","tot_genASL","tot_ageASL","hf_fem","hf_male","hpt_fem","hpt_male","tot_hpt","tot_nohpt","male_nohpt","fem_nohpt","tot_hf","tot_nohf","male_nohf","fem_nohf","mar_hptASL","mar_nohptASL","mar_hfASL","mar_nohfASL","mar_hptmanASL","mar_nohptmanASL","mar_hptfemASL","mar_nohptfemASL","mar_hfmanASL","mar_nohfmanASL","mar_hffemASL","mar_nohffemASL"
"ROMA 2","80_84",28626,19132,285,134,28911,19266,48177,721182,673619,1394801,1394801,2164,1826,20906,13872,34778,13399,5394,8005,3990,44187,17440,26747,260122,1134679,20488,1374313,123633,549986,136489,584693,10222,663397,10266,710916
"ROMA 2","85_100",31243,15946,202,94,31445,16040,47485,721182,673619,1394801,1394801,4051,2271,23705,11818,35523,11962,4222,7740,6322,41163,13769,27394,260122,1134679,20488,1374313,123633,549986,136489,584693,10222,663397,10266,710916
"ROMA 3","00_04",10165,10931,1582,1659,11747,12590,24337,344470,314855,659325,659325,6,7,7,4,11,24326,12586,11740,13,24324,12583,11741,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","05_09",13275,13735,1837,1938,15112,15673,30785,344470,314855,659325,659325,0,0,14,16,30,30755,15657,15098,0,30785,15673,15112,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","10_14",14753,15593,1653,1777,16406,17370,33776,344470,314855,659325,659325,4,4,22,25,47,33729,17345,16384,8,33768,17366,16402,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","15_19",14034,15135,1272,1441,15306,16576,31882,344470,314855,659325,659325,0,0,30,55,85,31797,16521,15276,0,31882,16576,15306,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","20_24",13177,14554,1179,1709,14356,16263,30619,344470,314855,659325,659325,4,14,28,72,100,30519,16191,14328,18,30601,16249,14352,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","25_29",13323,14124,1835,2210,15158,16334,31492,344470,314855,659325,659325,7,6,37,69,106,31386,16265,15121,13,31479,16328,15151,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","30_34",14551,14727,2844,2921,17395,17648,35043,344470,314855,659325,659325,5,11,58,163,221,34822,17485,17337,16,35027,17637,17390,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","35_39",16823,16507,3665,4021,20488,20528,41016,344470,314855,659325,659325,5,16,183,343,526,40490,20185,20305,21,40995,20512,20483,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","40_44",20974,19508,4047,4214,25021,23722,48743,344470,314855,659325,659325,12,28,461,845,1306,47437,22877,24560,40,48703,23694,25009,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","45_49",26699,24504,4015,3371,30714,27875,58589,344470,314855,659325,659325,26,82,1548,2215,3763,54826,25660,29166,108,58481,27793,30688,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","50_54",27897,25646,3870,2721,31767,28367,60134,344470,314855,659325,659325,63,163,3109,4260,7369,52765,24107,28658,226,59908,28204,31704,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","55_59",25713,24264,2746,1752,28459,26016,54475,344470,314855,659325,659325,104,305,4838,6303,11141,43334,19713,23621,409,54066,25711,28355,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","60_64",20498,18081,2152,1150,22650,19231,41881,344470,314855,659325,659325,168,374,5896,6782,12678,29203,12449,16754,542,41339,18857,22482,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","65_69",17186,14588,1247,601,18433,15189,33622,344470,314855,659325,659325,226,464,6804,7187,13991,19631,8002,11629,690,32932,14725,18207,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","70_74",16967,13021,650,288,17617,13309,30926,344470,314855,659325,659325,391,661,8907,7618,16525,14401,5691,8710,1052,29874,12648,17226,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","75_79",15275,10963,330,128,15605,11091,26696,344470,314855,659325,659325,708,766,9716,7296,17012,9684,3795,5889,1474,25222,10325,14897,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","80_84",14003,9583,167,67,14170,9650,23820,344470,314855,659325,659325,1015,873,9928,6789,16717,7103,2861,4242,1888,21932,8777,13155,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","85_100",13940,7374,126,49,14066,7423,21489,344470,314855,659325,659325,1603,1020,10197,5417,15614,5875,2006,3869,2623,18866,6403,12463,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 4","00_04",5320,5812,813,886,6133,6698,12831,183637,175639,359276,359276,6,7,6,0,6,12825,6698,6127,13,12818,6691,6127,64012,295264,4695,354581,31831,143808,32181,151456,2548,173091,2147,181490
"ROMA 4","05_09",7184,7572,1052,1139,8236,8711,16947,183637,175639,359276,359276,0,0,0,4,4,16943,8707,8236,0,16947,8711,8236,64012,295264,4695,354581,31831,143808,32181,151456,2548,173091,2147,181490
"ROMA 4","10_14",8033,8482,1041,1073,9074,9555,18629,183637,175639,359276,359276,0,0,12,7,19,18610,9548,9062,0,18629,9555,9074,64012,295264,4695,354581,31831,143808,32181,151456,2548,173091,2147,181490
"ROMA 4","15_19",7741,8344,779,867,8520,9211,17731,183637,175639,359276,359276,0,0,14,33,47,17684,9178,8506,0,17731,9211,8520,64012,295264,4695,354581,31831,143808,32181,151456,2548,173091,2147,181490
"ROMA 4","20_24",7522,8218,695,928,8217,9146,17363,183637,175639,359276,359276,0,0,19,33,52,17311,9113,8198,0,17363,9146,8217,64012,295264,4695,354581,31831,143808,32181,151456,2548,173091,2147,181490
"ROMA 4","25_29",7418,7928,931,1063,8349,8991,17340,183637,175639,359276,359276,0,5,28,42,70,17270,8949,8321,5,17335,8986,8349,64012,295264,4695,354581,31831,143808,32181,151456,2548,173091,2147,181490
"ROMA 4","30_34",8412,8291,1722,1528,10134,9819,19953,183637,175639,359276,359276,0,5,55,73,128,19825,9746,10079,5,19948,9814,10134,64012,295264,4695,354581,31831,143808,32181,151456,2548,173091,2147,181490
"ROMA 4","35_39",9317,9146,1996,1825,11313,10971,22284,183637,175639,359276,359276,6,8,113,169,282,22002,10802,11200,14,22270,10963,11307,64012,295264,4695,354581,31831,143808,32181,151456,2548,173091,2147,181490
"ROMA 4","40_44",11449,11106,2354,2218,13803,13324,27127,183637,175639,359276,359276,7,19,305,525,830,26297,12799,13498,26,27101,13305,13796,64012,295264,4695,354581,31831,143808,32181,151456,2548,173091,2147,181490
"ROMA 4","45_49",14147,13362,2214,1922,16361,15284,31645,183637,175639,359276,359276,22,48,891,1290,2181,29464,13994,15470,70,31575,15236,16339,64012,295264,4695,354581,31831,143808,32181,151456,2548,173091,2147,181490
"ROMA 4","50_54",14773,14268,2125,1683,16898,15951,32849,183637,175639,359276,359276,31,96,1855,2530,4385,28464,13421,15043,127,32722,15855,16867,64012,295264,4695,354581,31831,143808,32181,151456,2548,173091,2147,181490
"ROMA 4","55_59",13929,13659,1253,1013,15182,14672,29854,183637,175639,359276,359276,61,164,2793,3793,6586,23268,10879,12389,225,29629,14508,15121,64012,295264,4695,354581,31831,143808,32181,151456,2548,173091,2147,181490
"ROMA 4","60_64",11169,10929,948,636,12117,11565,23682,183637,175639,359276,359276,82,234,3476,4187,7663,16019,7378,8641,316,23366,11331,12035,64012,295264,4695,354581,31831,143808,32181,151456,2548,173091,2147,181490
"ROMA 4","65_69",9552,8927,498,316,10050,9243,19293,183637,175639,359276,359276,161,300,3999,4441,8440,10853,4802,6051,461,18832,8943,9889,64012,295264,4695,354581,31831,143808,32181,151456,2548,173091,2147,181490
"ROMA 4","70_74",8853,7892,276,171,9129,8063,17192,183637,175639,359276,359276,262,400,4869,4784,9653,7539,3279,4260,662,16530,7663,8867,64012,295264,4695,354581,31831,143808,32181,151456,2548,173091,2147,181490
"ROMA 4","75_79",7517,6251,143,70,7660,6321,13981,183637,175639,359276,359276,378,424,4884,4183,9067,4914,2138,2776,802,13179,5897,7282,64012,295264,4695,354581,31831,143808,32181,151456,2548,173091,2147,181490
"ROMA 4","80_84",6176,4755,92,46,6268,4801,11069,183637,175639,359276,359276,443,441,4402,3352,7754,3315,1449,1866,884,10185,4360,5825,64012,295264,4695,354581,31831,143808,32181,151456,2548,173091,2147,181490
"ROMA 4","85_100",6146,3288,47,25,6193,3313,9506,183637,175639,359276,359276,688,397,4460,2385,6845,2661,928,1733,1085,8421,2916,5505,64012,295264,4695,354581,31831,143808,32181,151456,2548,173091,2147,181490
"ROMA 5","00_04",9098,9631,1582,1707,10680,11338,22018,277664,272590,550254,550254,0,5,4,5,9,22009,11333,10676,5,22013,11333,10680,104506,445748,7869,542385,51110,221480,53396,224268,4069,268521,3800,273864
"ROMA 5","05_09",11229,12162,1824,2071,13053,14233,27286,277664,272590,550254,550254,0,0,13,19,32,27254,14214,13040,0,27286,14233,13053,104506,445748,7869,542385,51110,221480,53396,224268,4069,268521,3800,273864
"ROMA 5","10_14",12611,13261,1830,1905,14441,15166,29607,277664,272590,550254,550254,0,4,23,19,42,29565,15147,14418,4,29603,15162,14441,104506,445748,7869,542385,51110,221480,53396,224268,4069,268521,3800,273864
"ROMA 5","15_19",11857,12914,1330,1464,13187,14378,27565,277664,272590,550254,550254,0,5,23,49,72,27493,14329,13164,5,27560,14373,13187,104506,445748,7869,542385,51110,221480,53396,224268,4069,268521,3800,273864
"ROMA 5","20_24",11409,12521,1176,1614,12585,14135,26720,277664,272590,550254,550254,5,5,35,49,84,26636,14086,12550,10,26710,14130,12580,104506,445748,7869,542385,51110,221480,53396,224268,4069,268521,3800,273864
"ROMA 5","25_29",12040,12883,1730,1856,13770,14739,28509,277664,272590,550254,550254,0,5,36,72,108,28401,14667,13734,5,28504,14734,13770,104506,445748,7869,542385,51110,221480,53396,224268,4069,268521,3800,273864
"ROMA 5","30_34",13866,14280,2574,2728,16440,17008,33448,277664,272590,550254,550254,4,13,107,152,259,33189,16856,16333,17,33431,16995,16436,104506,445748,7869,542385,51110,221480,53396,224268,4069,268521,3800,273864
"ROMA 5","35_39",15243,15765,3139,3444,18382,19209,37591,277664,272590,550254,550254,10,18,242,438,680,36911,18771,18140,28,37563,19191,18372,104506,445748,7869,542385,51110,221480,53396,224268,4069,268521,3800,273864
"ROMA 5","40_44",17572,17683,3382,3665,20954,21348,42302,277664,272590,550254,550254,15,31,685,1050,1735,40567,20298,20269,46,42256,21317,20939,104506,445748,7869,542385,51110,221480,53396,224268,4069,268521,3800,273864
"ROMA 5","45_49",20429,20355,3088,3063,23517,23418,46935,277664,272590,550254,550254,24,88,1652,2392,4044,42891,21026,21865,112,46823,23330,23493,104506,445748,7869,542385,51110,221480,53396,224268,4069,268521,3800,273864
"ROMA 5","50_54",21172,20669,2885,2596,24057,23265,47322,277664,272590,550254,550254,69,147,3251,4257,7508,39814,19008,20806,216,47106,23118,23988,104506,445748,7869,542385,51110,221480,53396,224268,4069,268521,3800,273864
"ROMA 5","55_59",20128,19653,1609,1340,21737,20993,42730,277664,272590,550254,550254,116,261,4993,6183,11176,31554,14810,16744,377,42353,20732,21621,104506,445748,7869,542385,51110,221480,53396,224268,4069,268521,3800,273864
"ROMA 5","60_64",16893,16347,1205,838,18098,17185,35283,277664,272590,550254,550254,159,387,6164,7108,13272,22011,10077,11934,546,34737,16798,17939,104506,445748,7869,542385,51110,221480,53396,224268,4069,268521,3800,273864
"ROMA 5","65_69",14378,13632,597,419,14975,14051,29026,277664,272590,550254,550254,267,496,7199,7486,14685,14341,6565,7776,763,28263,13555,14708,104506,445748,7869,542385,51110,221480,53396,224268,4069,268521,3800,273864
"ROMA 5","70_74",13082,11984,331,174,13413,12158,25571,277664,272590,550254,550254,446,619,8059,7593,15652,9919,4565,5354,1065,24506,11539,12967,104506,445748,7869,542385,51110,221480,53396,224268,4069,268521,3800,273864
"ROMA 5","75_79",10121,8434,132,75,10253,8509,18762,277664,272590,550254,550254,627,615,7156,5869,13025,5737,2640,3097,1242,17520,7894,9626,104506,445748,7869,542385,51110,221480,53396,224268,4069,268521,3800,273864
"ROMA 5","80_84",8825,6635,80,32,8905,6667,15572,277664,272590,550254,550254,803,711,6707,4859,11566,4006,1808,2198,1514,14058,5956,8102,104506,445748,7869,542385,51110,221480,53396,224268,4069,268521,3800,273864
"ROMA 5","85_100",9163,4765,54,25,9217,4790,14007,277664,272590,550254,550254,1255,659,7047,3510,10557,3450,1280,2170,1914,12093,4131,7962,104506,445748,7869,542385,51110,221480,53396,224268,4069,268521,3800,273864
"ROMA 6","00_04",10255,10749,1420,1442,11675,12191,23866,318332,310109,628441,628441,6,7,6,7,13,23853,12184,11669,13,23853,12184,11669,115049,513392,9449,618992,56796,253313,58253,260079,5010,305099,4439,313893
"ROMA 6","05_09",12807,13613,1596,1795,14403,15408,29811,318332,310109,628441,628441,4,0,9,20,29,29782,15388,14394,4,29807,15408,14399,115049,513392,9449,618992,56796,253313,58253,260079,5010,305099,4439,313893
"ROMA 6","10_14",14474,15404,1534,1662,16008,17066,33074,318332,310109,628441,628441,0,0,17,26,43,33031,17040,15991,0,33074,17066,16008,115049,513392,9449,618992,56796,253313,58253,260079,5010,305099,4439,313893
"ROMA 6","15_19",13807,14645,1082,1290,14889,15935,30824,318332,310109,628441,628441,0,5,28,54,82,30742,15881,14861,5,30819,15930,14889,115049,513392,9449,618992,56796,253313,58253,260079,5010,305099,4439,313893
"ROMA 6","20_24",13252,14186,973,1435,14225,15621,29846,318332,310109,628441,628441,5,4,37,43,80,29766,15578,14188,9,29837,15617,14220,115049,513392,9449,618992,56796,253313,58253,260079,5010,305099,4439,313893
"ROMA 6","25_29",13471,14293,1501,1860,14972,16153,31125,318332,310109,628441,628441,6,7,42,81,123,31002,16072,14930,13,31112,16146,14966,115049,513392,9449,618992,56796,253313,58253,260079,5010,305099,4439,313893
"ROMA 6","30_34",15378,15843,2572,2797,17950,18640,36590,318332,310109,628441,628441,9,17,96,161,257,36333,18479,17854,26,36564,18623,17941,115049,513392,9449,618992,56796,253313,58253,260079,5010,305099,4439,313893
"ROMA 6","35_39",17196,17968,3025,3702,20221,21670,41891,318332,310109,628441,628441,12,24,202,400,602,41289,21270,20019,36,41855,21646,20209,115049,513392,9449,618992,56796,253313,58253,260079,5010,305099,4439,313893
"ROMA 6","40_44",20453,20330,3463,3743,23916,24073,47989,318332,310109,628441,628441,15,34,659,964,1623,46366,23109,23257,49,47940,24039,23901,115049,513392,9449,618992,56796,253313,58253,260079,5010,305099,4439,313893
"ROMA 6","45_49",24581,24261,3244,3204,27825,27465,55290,318332,310109,628441,628441,35,87,1551,2499,4050,51240,24966,26274,122,55168,27378,27790,115049,513392,9449,618992,56796,253313,58253,260079,5010,305099,4439,313893
"ROMA 6","50_54",24792,24243,2913,2557,27705,26800,54505,318332,310109,628441,628441,81,192,3158,4432,7590,46915,22368,24547,273,54232,26608,27624,115049,513392,9449,618992,56796,253313,58253,260079,5010,305099,4439,313893
"ROMA 6","55_59",23553,23045,1880,1515,25433,24560,49993,318332,310109,628441,628441,130,326,5196,6695,11891,38102,17865,20237,456,49537,24234,25303,115049,513392,9449,618992,56796,253313,58253,260079,5010,305099,4439,313893
"ROMA 6","60_64",19941,18865,1368,994,21309,19859,41168,318332,310109,628441,628441,240,480,6488,7597,14085,27083,12262,14821,720,40448,19379,21069,115049,513392,9449,618992,56796,253313,58253,260079,5010,305099,4439,313893
"ROMA 6","65_69",17158,15669,746,470,17904,16139,34043,318332,310109,628441,628441,310,578,7805,8171,15976,18067,7968,10099,888,33155,15561,17594,115049,513392,9449,618992,56796,253313,58253,260079,5010,305099,4439,313893
"ROMA 6","70_74",15734,14229,374,204,16108,14433,30541,318332,310109,628441,628441,546,789,9000,8822,17822,12719,5611,7108,1335,29206,13644,15562,115049,513392,9449,618992,56796,253313,58253,260079,5010,305099,4439,313893
"ROMA 6","75_79",12451,10536,159,100,12610,10636,23246,318332,310109,628441,628441,689,828,8447,7180,15627,7619,3456,4163,1517,21729,9808,11921,115049,513392,9449,618992,56796,253313,58253,260079,5010,305099,4439,313893
"ROMA 6","80_84",10587,7770,105,63,10692,7833,18525,318332,310109,628441,628441,898,802,7701,5547,13248,5277,2286,2991,1700,16825,7031,9794,115049,513392,9449,618992,56796,253313,58253,260079,5010,305099,4439,313893
"ROMA 6","85_100",10401,5587,86,40,10487,5627,16114,318332,310109,628441,628441,1453,830,7811,4097,11908,4206,1530,2676,2283,13831,4797,9034,115049,513392,9449,618992,56796,253313,58253,260079,5010,305099,4439,313893
"VITERBO","00_04",4765,5081,749,863,5514,5944,11458,172137,166470,338607,338607,4,5,0,6,6,11452,5938,5514,9,11449,5939,5510,66370,272237,5415,333192,32810,133660,33560,138577,2893,163577,2522,169615
"VITERBO","05_09",5990,6226,822,855,6812,7081,13893,172137,166470,338607,338607,0,0,6,7,13,13880,7074,6806,0,13893,7081,6812,66370,272237,5415,333192,32810,133660,33560,138577,2893,163577,2522,169615
"VITERBO","10_14",6623,7075,753,810,7376,7885,15261,172137,166470,338607,338607,0,0,7,13,20,15241,7872,7369,0,15261,7885,7376,66370,272237,5415,333192,32810,133660,33560,138577,2893,163577,2522,169615
"VITERBO","15_19",6535,6934,661,644,7196,7578,14774,172137,166470,338607,338607,0,0,11,16,27,14747,7562,7185,0,14774,7578,7196,66370,272237,5415,333192,32810,133660,33560,138577,2893,163577,2522,169615
"VITERBO","20_24",6662,7299,685,1026,7347,8325,15672,172137,166470,338607,338607,0,0,8,21,29,15643,8304,7339,0,15672,8325,7347,66370,272237,5415,333192,32810,133660,33560,138577,2893,163577,2522,169615
"VITERBO","25_29",6906,7735,960,1247,7866,8982,16848,172137,166470,338607,338607,0,0,13,28,41,16807,8954,7853,0,16848,8982,7866,66370,272237,5415,333192,32810,133660,33560,138577,2893,163577,2522,169615
"VITERBO","30_34",7919,8378,1432,1498,9351,9876,19227,172137,166470,338607,338607,4,0,31,60,91,19136,9816,9320,4,19223,9876,9347,66370,272237,5415,333192,32810,133660,33560,138577,2893,163577,2522,169615
"VITERBO","35_39",9039,9082,1612,1673,10651,10755,21406,172137,166470,338607,338607,9,12,90,202,292,21114,10553,10561,21,21385,10743,10642,66370,272237,5415,333192,32810,133660,33560,138577,2893,163577,2522,169615
"VITERBO","40_44",10453,10668,1668,1651,12121,12319,24440,172137,166470,338607,338607,4,20,282,520,802,23638,11799,11839,24,24416,12299,12117,66370,272237,5415,333192,32810,133660,33560,138577,2893,163577,2522,169615
"VITERBO","45_49",12294,12326,1542,1479,13836,13805,27641,172137,166470,338607,338607,13,52,726,1262,1988,25653,12543,13110,65,27576,13753,13823,66370,272237,5415,333192,32810,133660,33560,138577,2893,163577,2522,169615
"VITERBO","50_54",12768,12407,1457,1189,14225,13596,27821,172137,166470,338607,338607,35,71,1573,2182,3755,24066,11414,12652,106,27715,13525,14190,66370,272237,5415,333192,32810,133660,33560,138577,2893,163577,2522,169615
"VITERBO","55_59",12676,12755,972,732,13648,13487,27135,172137,166470,338607,338607,57,143,2522,3486,6008,21127,10001,11126,200,26935,13344,13591,66370,272237,5415,333192,32810,133660,33560,138577,2893,163577,2522,169615
"VITERBO","60_64",11388,10855,788,510,12176,11365,23541,172137,166470,338607,338607,87,239,3337,4152,7489,16052,7213,8839,326,23215,11126,12089,66370,272237,5415,333192,32810,133660,33560,138577,2893,163577,2522,169615
"VITERBO","65_69",10456,9852,504,282,10960,10134,21094,172137,166470,338607,338607,159,309,4353,4805,9158,11936,5329,6607,468,20626,9825,10801,66370,272237,5415,333192,32810,133660,33560,138577,2893,163577,2522,169615
"VITERBO","70_74",9866,9193,274,144,10140,9337,19477,172137,166470,338607,338607,295,461,5282,5374,10656,8821,3963,4858,756,18721,8876,9845,66370,272237,5415,333192,32810,133660,33560,138577,2893,163577,2522,169615
"VITERBO","75_79",7961,6725,117,88,8078,6813,14891,172137,166470,338607,338607,389,515,5001,4369,9370,5521,2444,3077,904,13987,6298,7689,66370,272237,5415,333192,32810,133660,33560,138577,2893,163577,2522,169615
"VITERBO","80_84",7036,5160,76,46,7112,5206,12318,172137,166470,338607,338607,527,503,4872,3522,8394,3924,1684,2240,1030,11288,4703,6585,66370,272237,5415,333192,32810,133660,33560,138577,2893,163577,2522,169615
"VITERBO","85_100",7690,3959,38,23,7728,3982,11710,172137,166470,338607,338607,939,563,5446,2785,8231,3479,1197,2282,1502,10208,3419,6789,66370,272237,5415,333192,32810,133660,33560,138577,2893,163577,2522,169615
