"DENOMINAZI","classi_eta","hpt_fem","hpt_male"
"FROSINONE","00_04",6,4
"FROSINONE","05_09",6,7
"FROSINONE","10_14",11,24
"FROSINONE","15_19",22,33
"FROSINONE","20_24",31,47
"FROSINONE","25_29",40,68
"FROSINONE","30_34",87,188
"FROSINONE","35_39",243,397
"FROSINONE","40_44",624,1064
"FROSINONE","45_49",1642,2384
"FROSINONE","50_54",3396,4094
"FROSINONE","55_59",5379,6068
"FROSINONE","60_64",6994,7206
"FROSINONE","65_69",8233,8300
"FROSINONE","70_74",9861,9226
"FROSINONE","75_79",7646,6309
"FROSINONE","80_84",7439,5386
"FROSINONE","85_100",9003,4603
"LATINA","00_04",5,6
"LATINA","05_09",10,11
"LATINA","10_14",21,31
"LATINA","15_19",25,51
"LATINA","20_24",41,70
"LATINA","25_29",48,80
"LATINA","30_34",108,164
"LATINA","35_39",277,443
"LATINA","40_44",669,1118
"LATINA","45_49",1734,2608
"LATINA","50_54",3457,4453
"LATINA","55_59",5462,6545
"LATINA","60_64",6868,7471
"LATINA","65_69",8288,8428
"LATINA","70_74",10276,9534
"LATINA","75_79",8613,7126
"LATINA","80_84",8347,6086
"LATINA","85_100",8785,4686
"RIETI","00_04",0,0
"RIETI","05_09",0,0
"RIETI","10_14",0,6
"RIETI","15_19",10,19
"RIETI","20_24",0,8
"RIETI","25_29",5,28
"RIETI","30_34",28,50
"RIETI","35_39",56,129
"RIETI","40_44",217,294
"RIETI","45_49",464,720
"RIETI","50_54",954,1317
"RIETI","55_59",1608,2042
"RIETI","60_64",1975,2296
"RIETI","65_69",2335,2588
"RIETI","70_74",2915,2948
"RIETI","75_79",2556,2334
"RIETI","80_84",2705,1966
"RIETI","85_100",3118,1698
"ROMA 1","00_04",8,6
"ROMA 1","05_09",17,25
"ROMA 1","10_14",16,46
"ROMA 1","15_19",40,70
"ROMA 1","20_24",46,92
"ROMA 1","25_29",51,124
"ROMA 1","30_34",123,199
"ROMA 1","35_39",247,523
"ROMA 1","40_44",734,1364
"ROMA 1","45_49",2011,3179
"ROMA 1","50_54",4456,5884
"ROMA 1","55_59",7254,9501
"ROMA 1","60_64",9420,11052
"ROMA 1","65_69",11342,11852
"ROMA 1","70_74",14268,12871
"ROMA 1","75_79",15407,11780
"ROMA 1","80_84",16370,10990
"ROMA 1","85_100",19800,9571
"ROMA 2","00_04",13,22
"ROMA 2","05_09",30,36
"ROMA 2","10_14",40,56
"ROMA 2","15_19",52,126
"ROMA 2","20_24",60,126
"ROMA 2","25_29",82,159
"ROMA 2","30_34",181,377
"ROMA 2","35_39",472,927
"ROMA 2","40_44",1243,2304
"ROMA 2","45_49",3112,5087
"ROMA 2","50_54",6346,8913
"ROMA 2","55_59",10667,13887
"ROMA 2","60_64",13728,15785
"ROMA 2","65_69",16329,16806
"ROMA 2","70_74",19711,17708
"ROMA 2","75_79",19812,15624
"ROMA 2","80_84",20906,13872
"ROMA 2","85_100",23705,11818
"ROMA 3","00_04",7,4
"ROMA 3","05_09",14,16
"ROMA 3","10_14",22,25
"ROMA 3","15_19",30,55
"ROMA 3","20_24",28,72
"ROMA 3","25_29",37,69
"ROMA 3","30_34",58,163
"ROMA 3","35_39",183,343
"ROMA 3","40_44",461,845
"ROMA 3","45_49",1548,2215
"ROMA 3","50_54",3109,4260
"ROMA 3","55_59",4838,6303
"ROMA 3","60_64",5896,6782
"ROMA 3","65_69",6804,7187
"ROMA 3","70_74",8907,7618
"ROMA 3","75_79",9716,7296
"ROMA 3","80_84",9928,6789
"ROMA 3","85_100",10197,5417
"ROMA 4","00_04",6,0
"ROMA 4","05_09",0,4
"ROMA 4","10_14",12,7
"ROMA 4","15_19",14,33
"ROMA 4","20_24",19,33
"ROMA 4","25_29",28,42
"ROMA 4","30_34",55,73
"ROMA 4","35_39",113,169
"ROMA 4","40_44",305,525
"ROMA 4","45_49",891,1290
"ROMA 4","50_54",1855,2530
"ROMA 4","55_59",2793,3793
"ROMA 4","60_64",3476,4187
"ROMA 4","65_69",3999,4441
"ROMA 4","70_74",4869,4784
"ROMA 4","75_79",4884,4183
"ROMA 4","80_84",4402,3352
"ROMA 4","85_100",4460,2385
"ROMA 5","00_04",4,5
"ROMA 5","05_09",13,19
"ROMA 5","10_14",23,19
"ROMA 5","15_19",23,49
"ROMA 5","20_24",35,49
"ROMA 5","25_29",36,72
"ROMA 5","30_34",107,152
"ROMA 5","35_39",242,438
"ROMA 5","40_44",685,1050
"ROMA 5","45_49",1652,2392
"ROMA 5","50_54",3251,4257
"ROMA 5","55_59",4993,6183
"ROMA 5","60_64",6164,7108
"ROMA 5","65_69",7199,7486
"ROMA 5","70_74",8059,7593
"ROMA 5","75_79",7156,5869
"ROMA 5","80_84",6707,4859
"ROMA 5","85_100",7047,3510
"ROMA 6","00_04",6,7
"ROMA 6","05_09",9,20
"ROMA 6","10_14",17,26
"ROMA 6","15_19",28,54
"ROMA 6","20_24",37,43
"ROMA 6","25_29",42,81
"ROMA 6","30_34",96,161
"ROMA 6","35_39",202,400
"ROMA 6","40_44",659,964
"ROMA 6","45_49",1551,2499
"ROMA 6","50_54",3158,4432
"ROMA 6","55_59",5196,6695
"ROMA 6","60_64",6488,7597
"ROMA 6","65_69",7805,8171
"ROMA 6","70_74",9000,8822
"ROMA 6","75_79",8447,7180
"ROMA 6","80_84",7701,5547
"ROMA 6","85_100",7811,4097
"VITERBO","00_04",0,6
"VITERBO","05_09",6,7
"VITERBO","10_14",7,13
"VITERBO","15_19",11,16
"VITERBO","20_24",8,21
"VITERBO","25_29",13,28
"VITERBO","30_34",31,60
"VITERBO","35_39",90,202
"VITERBO","40_44",282,520
"VITERBO","45_49",726,1262
"VITERBO","50_54",1573,2182
"VITERBO","55_59",2522,3486
"VITERBO","60_64",3337,4152
"VITERBO","65_69",4353,4805
"VITERBO","70_74",5282,5374
"VITERBO","75_79",5001,4369
"VITERBO","80_84",4872,3522
"VITERBO","85_100",5446,2785
